Fecha;Posicion;Interes Abierto
2021-03-03;2021-09-30;38736
2021-03-03;2021-10-31;23657
2021-03-03;2021-11-30;14381
2021-03-03;2021-12-31;21802
2021-03-03;2022-01-31;5616
2021-03-02;2021-08-31;78405
2021-03-02;2021-09-30;44787
2021-03-02;2021-10-31;19302
2021-03-02;2021-11-30;13994
2021-03-02;2021-12-31;16687
2021-03-02;2022-01-31;5624
2021-03-01;2021-08-31;82125
2021-03-01;2021-09-30;44786
2021-03-01;2021-10-31;20253
2021-03-01;2021-11-30;13934
2021-03-01;2021-12-31;14680
2021-03-01;2022-01-31;5624
2021-02-26;2021-08-31;78717
2021-02-26;2021-09-30;44784
2021-02-26;2021-10-31;17014
2021-02-26;2021-11-30;13929
2021-02-26;2021-12-31;13532
2021-02-26;2022-01-31;5601
2021-02-25;2021-08-31;78717
2021-02-25;2021-09-30;40204
2021-02-25;2021-10-31;14017
2021-02-25;2021-11-30;13740
2021-02-25;2021-12-31;12488
2021-02-25;2022-01-31;5601
